"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"9919","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/283979","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","17-Aug-2026","manoj kumar","Payment Success","411487"
"9920","Jammu And Kashmir","Construction of boundary walls of existing public and community buildings","WS/MP18260/2025-2026/199045","PULWAMA(Deputy Commissioner  Pulwama_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","20-Mar-2026","Arsheed Hassan Lone","Payment Success","354570"
"9921","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199729","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","24-Mar-2026","sharma sanitations","Payment Success","15940"
"9922","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199729","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","24-Mar-2026","VK KRISHANA BROTHERS","Payment Success","20500"
"9923","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18049/2024-2025/152160","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","TOKHAN SAHU","BILASPUR","20-Mar-2026","BAICHALIKHURD","Payment Success","100000"
"9924","Jammu And Kashmir","Construction of community centers and community halls","WS/	 MP331/2025-2026/222762","RAJOURI(Deputy Commissioner Rajouri_IDA)","Shri Jugal Kishore Sharma","JAMMU","23-Mar-2026","BRIJ TRADERS PROP SATISH KUMAR","Payment Success","622000"
"9925","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199729","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","24-Mar-2026","JASPAL SINGH","Payment Success","50000"
"9926","Andhra Pradesh","Lighting of public spaces","WS/MP18002/2025-2026/248544","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","C.M.RAMESH","ANAKAPALLE","26-Mar-2026","Pro lite India","Payment Success","1909527"
"9927","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18006/2025-2026/243953","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","22-Mar-2026","T SURESH KUMAR","Payment Success","498458"
"9928","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18006/2025-2026/243952","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","22-Mar-2026","T SURESH KUMAR","Payment Success","498107"
"9929","Kerala","Purchase of vans and buses for educational institutions","WS/MP353/2025-2026/196078","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Adv Dean Kuriakose","IDUKKI","22-Apr-2026","HEADMISTRESS SNHS NANKICITY","Payment Success","85976"
"9930","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP389/2025-2026/213845","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","24-Mar-2026","NARPAT RAM","Payment Success","749694"
"9931","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18186/2026-2027/240295","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","11-Jun-2026","M Rajendran","Payment Success","1998601"
"9932","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","19-Mar-2026","santosh saini","Payment Success","403751"
"9933","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","19-Mar-2026","santosh saini","Payment Success","22220"
"9934","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","19-Mar-2026","santosh saini","Payment Success","900"
"9935","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/201361","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","01-Apr-2026","Harbhajan Singh","Payment Success","73260"
"9936","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/236382","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","20-Mar-2026","TARABH GRAM PANCHAYAT KACHERI","Payment Success","130000"
"9937","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18152/2025-2026/258335","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","20-Mar-2026","Tarzen Building Solutions","Payment Success","10220"
"9938","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18152/2025-2026/258335","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","20-Mar-2026","Gill Building Material","Payment Success","9000"
"9939","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18152/2025-2026/258335","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","20-Mar-2026","Gill Interlock tiles","Payment Success","49490"
"9940","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18152/2025-2026/258335","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","20-Mar-2026","Gill Interlock tiles","Payment Success","49490"
"9941","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18152/2025-2026/258335","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","05-May-2026","Gill Interlock tiles","Payment Success","63900"
"9942","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18152/2025-2026/274099","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","21-May-2026","Gill Interlock tiles","Payment Success","94874"
"9943","Jammu And Kashmir","Improvement of electricity distribution infrastructure","WS/MP18260/2025-2026/199043","PULWAMA(Deputy Commissioner  Pulwama_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","20-Mar-2026","FRIENDS SALES COPORATION","Payment Success","349895"
"9944","Arunachal Pradesh","Providing drains and gutters for public drainage","WS/MP533/2025-2026/260036","WEST KAMENG(Deputy Commisioner West Kameng_IDA)","Kiren Rijiju","ARUNACHAL WEST","22-Mar-2026","Ms LTY Enterprises","Payment Success","400000"
"9945","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/243997","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","19-Mar-2026","MIRAJ ENTERPRISE  PROP SK JAHANGIR","Payment Success","306898"
"9946","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18100/2025-2026/180168","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","03-Aug-2026","SHRI KRISHNA ASSOCIATES PRO ANJALI YADAV","Payment Success","128629"
"9947","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18100/2025-2026/180168","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","23-Mar-2026","SHRI KRISHNA ASSOCIATES PRO ANJALI YADAV","Payment Success","171371"
"9948","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/243992","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","19-Mar-2026","MASUD ENTERPRISE PROP SAIFUL MALLICK","Payment Success","290250"
"9949","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/243991","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","19-Mar-2026","SUBHAJIT SAHOO","Payment Success","307136"
