"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3458","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP568/2026-2027/279471","DURG(DISTRICT COLLECTOR DURG_IDA)","Vijay Baghel","DURG","04-Aug-2026","SARPANCH SACHIV GRAM PANCHAYAT KUTHREL","Payment Success","400000"
"3459","Madhya Pradesh","Construction of community centers and community halls","WS/MP650/2025-2026/212496","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","19-Aug-2026","Jai Baba Barfani trader","Payment Success","249621"
"3460","Karnataka","Construction of community centers and community halls","WS/MP18089/2025-2026/175231","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","05-Aug-2026","SHIVANAND MALLAPPA MENASINAKAI","Payment Success","225000"
"3461","Assam","Construction of community centers and community halls","WS/MP18019/2026-2027/139500","DIMA HASAO(DEPUTY COMMISSIONER Dima Hasao_IDA)","AMARSING TISSO","Diphu (ST)","09-Aug-2026","Bimal Hanse","Payment Success","4913740"
"3462","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP529/2025-2026/267504","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","06-Aug-2026","Galam Ravi","Payment Success","498851"
"3463","Madhya Pradesh","Construction of community centers and community halls","WS/MP650/2025-2026/212495","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","19-Aug-2026","TANVEER Engineering","Payment Success","201594"
"3464","Odisha","Construction of rainwater harvesting structures","WS/MP18150/2026-2027/272769","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","01-Aug-2026","MPLAD Holding Account Jujomura Block","Payment Success","11846"
"3465","Gujarat","Construction of public irrigation facilities","WS/MP577/2025-2026/229558","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","31-Jul-2026","GRAM PANCHAYAT zazori","Payment Success","474716"
"3466","Maharashtra","Construction of community centers and community halls","WS/MP18112/2025-2026/211417","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","04-Aug-2026","MOHD ANIS MOHD SHAFI","Payment Success","842346"
"3467","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/173898","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","01-Aug-2026","BDO Champua Royalty","Payment Success","5280"
"3468","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/250794","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","01-Aug-2026","BDO Champua Royalty","Payment Success","40126"
"3469","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/169217","NANDED(DISTRICT COLLECTOR NANDED_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","03-Aug-2026","TIRUPATI cONSTRUCTION","Payment Success","699588"
"3470","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/192783","NANDED(DISTRICT COLLECTOR NANDED_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","03-Aug-2026","TIRUPATI cONSTRUCTION","Payment Success","699707"
"3471","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/192782","NANDED(DISTRICT COLLECTOR NANDED_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","03-Aug-2026","TIRUPATI cONSTRUCTION","Payment Success","299757"
"3472","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2026-2027/234848","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","05-Aug-2026","AJITH KUMAR SHETTY","Payment Success","500000"
"3473","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/219945","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","01-Aug-2026","MOTA AGARIYA GRAM PANCHAYAT","Payment Success","291607"
"3474","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178119","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","SAVITRI DEVI","Payment Success","17934"
"3475","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178118","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","SAVITRI DEVI","Payment Success","10248"
"3476","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178118","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","CHANDAN","Payment Success","10248"
"3477","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178119","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","CHANDAN","Payment Success","17934"
"3478","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178119","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","RAKHI","Payment Success","17934"
"3479","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178118","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","RAKHI","Payment Success","10248"
"3480","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/221534","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","01-Aug-2026","VISALIYA GRAM PANCHAYAT","Payment Success","400000"
"3481","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178118","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","RAMESH CHANDRA","Payment Success","11615"
"3482","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178119","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","RAMESH CHANDRA","Payment Success","23735"
"3483","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178118","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","NAVEEN JOSHI","Payment Success","10248"
"3484","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178119","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","NAVEEN JOSHI","Payment Success","17934"
"3485","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178119","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","MAHIPAL","Payment Success","17934"
"3486","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/178118","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Aug-2026","MAHIPAL","Payment Success","10248"
"3487","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP381/2026-2027/278061","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","03-Aug-2026","Yuvraj Enterprises","Payment Success","90000"
"3488","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP381/2026-2027/278061","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","03-Aug-2026","Yuvraj Enterprises","Payment Success","82000"
"3489","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP381/2026-2027/278061","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","03-Aug-2026","Yuvraj Enterprises","Payment Success","64000"
"3490","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP381/2026-2027/278061","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","03-Aug-2026","Yuvraj Enterprises","Payment Success","70000"
"3491","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP386/2026-2027/242832","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","05-Aug-2026","H K CONSTRUCTION","Payment Success","791007"
"3492","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18258/2026-2027/183797","CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA)","DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU","CHANDRAPUR","07-Aug-2026","NUTAN KAMGAR SAHAKARI SANSTHA","Payment Success","1466928"
"3493","Maharashtra","Street lights","WS/MP18429/2026-2027/242119","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Ravindra Vasantrao Chavan","NANDED","10-Aug-2026","SWAMI NARENDRA ELECTRICAL","Payment Success","499947"
"3494","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP508/2026-2027/246906","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","10-Aug-2026","CS Builders","Payment Success","994902"
"3495","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2026-2027/192307","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Aug-2026","CHANDAN SINGH BISHT","Payment Success","16380"
"3496","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2026-2027/192307","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Aug-2026","LEELA BISHT","Payment Success","16380"
"3497","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2026-2027/192307","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Aug-2026","PRATAP SINGH BISHT","Payment Success","16380"
"3498","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/225796","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","06-Aug-2026","Videya vanti","Payment Success","74124"
"3499","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2026-2027/275246","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","04-Aug-2026","BHILLOWAL TRADERS","Payment Success","146300"
"3500","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18008/2026-2027/260769","GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA)","Dr Chandra Sekhar Pemmasani","GUNTUR","01-Aug-2026","Moparthy Srinivasa Rao","Payment Success","314762"
"3501","Punjab","Providing supply pipelines for drinking water","WS/MP18156/2025-2026/219758","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","04-Aug-2026","SWARAN SINGH CONTRACTOR","Payment Success","182959"
"3502","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18064/2025-2026/203137","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","01-Aug-2026","THE LUV KUSH COOP LABOUR AND CONSTRUCION SOCIETY LTD","Payment Success","503375"
"3503","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP529/2025-2026/267516","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","06-Aug-2026","VADIHBOINA CHENCHU REDDY","Payment Success","299336"
"3504","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP529/2025-2026/267520","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","06-Aug-2026","VADIHBOINA CHENCHU REDDY","Payment Success","486410"
"3505","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP529/2025-2026/267513","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","06-Aug-2026","VADIHBOINA CHENCHU REDDY","Payment Success","498807"
"3506","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP529/2025-2026/267517","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","06-Aug-2026","VADIHBOINA CHENCHU REDDY","Payment Success","235214"
"3507","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/197138","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","24-Aug-2026","jai  Isht dev supplier","Payment Success","51307"
"3508","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18076/2026-2027/228437","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","03-Aug-2026","RAVIKUMAR M","Payment Success","375000"
"3509","Maharashtra","Construction of boundary walls of existing public and community buildings","WS/MP18112/2025-2026/188633","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","31-Jul-2026","LAXMIKANT ANIL SOMANI","Payment Success","1199641"
"3510","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18008/2026-2027/251376","GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA)","Dr Chandra Sekhar Pemmasani","GUNTUR","01-Aug-2026","Kornepati Ashok Kumar","Payment Success","307485"
"3511","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/238272","MORBI(District collector Morbi_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","19-Aug-2026","NAVA GHANSHYAMGADH GRAM PANCHAYAT","Payment Success","499406"
"3512","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/175600","MORBI(District collector Morbi_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","18-Aug-2026","SUNDARI BHAVANI GRAM PANCHAYAT","Payment Success","249893"
"3513","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18025/2026-2027/280735","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","12-Aug-2026","OM ENTERPRISE","Payment Success","224200"
"3514","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/274252","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","01-Aug-2026","Sankar Singh","Payment Success","8585"
"3515","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/274252","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","01-Aug-2026","Khadak Singh","Payment Success","8585"
"3516","Odisha","Construction of common work sheds/ common covered sitting area","WS/MP18350/2025-2026/179076","Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA)","SUKANTA KUMAR PANIGRAHI","KANDHAMAL","29-Jul-2026","D BHABANI SANKAR DORA","Payment Success","200000"
"3517","Chhattisgarh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18049/2025-2026/218149","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","TOKHAN SAHU","BILASPUR","11-Aug-2026","SUNIL KASHYAP","Payment Success","472708"
"3518","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18008/2026-2027/251003","GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA)","Dr Chandra Sekhar Pemmasani","GUNTUR","01-Aug-2026","Tirumalasetty Ashok Kumar","Payment Success","130677"
"3519","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2026-2027/192307","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Aug-2026","JAGDISH SINGH BISHT","Payment Success","18564"
"3520","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18206/2026-2027/252551","BANDA(DISTRICT MAGISTRATE BANDA_IDA)","KRISHNA DEVI SHIVSHANKER PATEL","BANDA","09-Aug-2026","Pradeep Kumar","Payment Success","139132"
"3521","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2026-2027/192307","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Aug-2026","HARENDRA SINGH","Payment Success","18564"
"3522","Haryana","Construction of public irrigation facilities","WS/MP18062/2025-2026/210271","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","JAI PARKASH","HISAR","05-Aug-2026","Ramehar","Payment Success","299944"
"3523","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2026-2027/192307","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Aug-2026","MUNNI DEVI","Payment Success","16380"
"3524","Jammu And Kashmir","Construction of footpaths and pedestrian ways","WS/MP600/2025-2026/237608","RAMBAN(Deputy Commissioner Ramban_IDA)","Jitendra Singh","UDHAMPUR","03-Aug-2026","Sh Anchal Singh So Khushi Ram Ro Kumate Tehsil Rajgarh District Ramban Contractor","Payment Success","131300"
"3525","Bihar","Construction of buildings for community cultural activities","WS/MP316/2025-2026/237836","SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA)","Shri Janardan Singh Sigriwal","MAHARAJGANJ_BR","30-Jul-2026","ANIKET KUMAR SINGH","Payment Success","1227383"
"3526","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18133/2025-2026/148457","SATARA(DISTRICT COLLECTOR SATARA_IDA)","SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","SATARA","11-Aug-2026","NEERAJ DATTATRAY RANDIVE","Payment Success","1000000"
"3527","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2026-2027/192307","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Aug-2026","SURAJ MEHTA","Payment Success","18564"
"3528","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/247640","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Aug-2026","Aggarwal Construction Co","Payment Success","123199"
"3529","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/247640","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Aug-2026","Kapila Trading Co","Payment Success","27793"
"3530","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/247640","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Aug-2026","Kapila Trading Co","Payment Success","30127"
"3531","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/247640","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Aug-2026","Kapila Trading Co","Payment Success","27900"
"3532","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/247640","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Aug-2026","Kapila Trading Co","Payment Success","14000"
"3533","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/247640","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Aug-2026","Kapila Trading Co","Payment Success","30000"
"3534","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/247640","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Aug-2026","Kapila Trading Co","Payment Success","49000"
"3535","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/247640","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Aug-2026","Kapila Trading Co","Payment Success","49000"
"3536","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/247640","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Aug-2026","Kapila Trading Co","Payment Success","11500"
"3537","Punjab","Construction of culverts and bridges","WS/MP18155/2025-2026/247640","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Aug-2026","Kapila Trading Co","Payment Success","12000"
"3538","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18415/2025-2026/205427","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","TRIVENDRA SINGH RAWAT","HARDWAR","18-Aug-2026","Banty Electrical","Payment Success","68668"
"3539","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18008/2026-2027/251063","GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA)","Dr Chandra Sekhar Pemmasani","GUNTUR","03-Aug-2026","Alapati satyanarayana","Payment Success","498247"
"3540","Maharashtra","Construction of community centers and community halls","WS/MP18112/2025-2026/233414","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","03-Aug-2026","SHUBHAM VIJAYRAO GADBAIL","Payment Success","966044"
"3541","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18008/2026-2027/251393","GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA)","Dr Chandra Sekhar Pemmasani","GUNTUR","03-Aug-2026","Doppalapudi Vasudeva Rao","Payment Success","282121"
"3542","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/274252","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","31-Jul-2026","Godhan Singh","Payment Success","7616"
"3543","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/274252","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","31-Jul-2026","Niraj  Singh Bora","Payment Success","7616"
"3544","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/274252","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","31-Jul-2026","Pooja","Payment Success","7168"
"3545","Nagaland","Setting up processing plants, cold storages,etc for fish and fisheries products for community use","WS/MP18391/2026-2027/283791","WOKHA(Deputy Commissioner Wokha_IDA)","S SUPONGMEREN JAMIR","NAGALAND","30-Jul-2026","Mhachen Humtsoe","Payment Success","4000000"
"3546","Nagaland","Setting up processing plants, cold storages,etc for fish and fisheries products for community use","WS/MP18391/2026-2027/283791","WOKHA(Deputy Commissioner Wokha_IDA)","S SUPONGMEREN JAMIR","NAGALAND","18-Aug-2026","Mhachen Humtsoe","Payment Success","2000000"
"3547","Maharashtra","Construction of footpaths and pedestrian ways","WS/MP18116/2025-2026/220954","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","06-Aug-2026","bhushan raghunath gharat","Payment Success","492080"
"3548","Kerala","Purchase of vans and buses for educational institutions","WS/MP18095/2026-2027/283022","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","04-Aug-2026","M S 790 NSS KARAYOGAM NADUBHAGAM","Payment Success","75558"
"3549","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18305/2025-2026/183287","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","E.T. MOHAMMED BASHEER","MALAPPURAM","06-Aug-2026","ABDUL LATHEEF K","Payment Success","243349"
"3550","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/222992","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","30-Jul-2026","GRAM PANCHAYAT ZARIKHURD","Payment Success","248299"
"3551","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18189/2026-2027/250011","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","12-Aug-2026","Bandaru Narasimha rao","Payment Success","496675"
"3552","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18189/2026-2027/242610","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","12-Aug-2026","Bandaru Narasimha rao","Payment Success","499498"
"3553","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18189/2026-2027/250010","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","12-Aug-2026","Bandaru Narasimha rao","Payment Success","496487"
"3554","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2025-2026/230419","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","17-Aug-2026","Taluka Development Officer Mahudha MPLADS","Payment Success","200000"
"3555","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2026-2027/264024","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","17-Aug-2026","Taluka Development Officer Mahudha MPLADS","Payment Success","200000"
